FeatureID	EOSC_1	EOSC_10	EOSC_100	EOSC_102	EOSC_103	EOSC_105	EOSC_106	EOSC_108	EOSC_109	EOSC_111	EOSC_113	EOSC_114	EOSC_115	EOSC_116	EOSC_119	EOSC_12	EOSC_121	EOSC_123	EOSC_124	EOSC_125	EOSC_126	EOSC_128	EOSC_129	EOSC_13	EOSC_130	EOSC_131	EOSC_132	EOSC_133	EOSC_134	EOSC_135	EOSC_136	EOSC_139	EOSC_14	EOSC_140	EOSC_141	EOSC_145	EOSC_146	EOSC_147	EOSC_148	EOSC_149	EOSC_15	EOSC_150	EOSC_151	EOSC_152	EOSC_153	EOSC_154	EOSC_155	EOSC_158	EOSC_16	EOSC_160	EOSC_161	EOSC_162	EOSC_163	EOSC_164	EOSC_165	EOSC_166	EOSC_167	EOSC_168	EOSC_169	EOSC_17	EOSC_170	EOSC_171	EOSC_175	EOSC_176	EOSC_177	EOSC_179	EOSC_180	EOSC_182	EOSC_183	EOSC_184	EOSC_185	EOSC_187	EOSC_188	EOSC_189	EOSC_190	EOSC_191	EOSC_192	EOSC_194	EOSC_195	EOSC_197	EOSC_198	EOSC_199	EOSC_2	EOSC_20	EOSC_202	EOSC_204	EOSC_206	EOSC_207	EOSC_208	EOSC_21	EOSC_210	EOSC_212	EOSC_213	EOSC_215	EOSC_218	EOSC_219	EOSC_220	EOSC_221	EOSC_222	EOSC_223	EOSC_225	EOSC_226	EOSC_227	EOSC_228	EOSC_23	EOSC_230	EOSC_231	EOSC_232	EOSC_233	EOSC_234	EOSC_235	EOSC_236	EOSC_237	EOSC_238	EOSC_239	EOSC_24	EOSC_241	EOSC_242	EOSC_243	EOSC_244	EOSC_245	EOSC_246	EOSC_247	EOSC_248	EOSC_249	EOSC_250	EOSC_251	EOSC_252	EOSC_254	EOSC_255	EOSC_256	EOSC_258	EOSC_259	EOSC_26	EOSC_260	EOSC_261	EOSC_262	EOSC_263	EOSC_264	EOSC_265	EOSC_266	EOSC_267	EOSC_268	EOSC_269	EOSC_27	EOSC_271	EOSC_272	EOSC_273	EOSC_274	EOSC_276	EOSC_277	EOSC_28	EOSC_281	EOSC_283	EOSC_284	EOSC_285	EOSC_286	EOSC_29	EOSC_3	EOSC_30	EOSC_31	EOSC_32	EOSC_33	EOSC_34	EOSC_35	EOSC_36	EOSC_37	EOSC_38	EOSC_39	EOSC_4	EOSC_42	EOSC_43	EOSC_45	EOSC_46	EOSC_47	EOSC_48	EOSC_5	EOSC_50	EOSC_51	EOSC_53	EOSC_54	EOSC_55	EOSC_56	EOSC_57	EOSC_59	EOSC_6	EOSC_60	EOSC_61	EOSC_65	EOSC_67	EOSC_68	EOSC_69	EOSC_7	EOSC_71	EOSC_72	EOSC_75	EOSC_76	EOSC_77	EOSC_78	EOSC_80	EOSC_81	EOSC_82	EOSC_85	EOSC_86	EOSC_90	EOSC_91	EOSC_92	EOSC_93	EOSC_95	EOSC_97	EOSC_99
Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Finegoldia	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Murdochiella	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	21	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	12	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	52	0	0	9	0	0	0	0	0	0	7	0	0	0	0	26	25	0	0	18	9	18	0	0	0	0	0	0	10	0	32	0	50	0	0	0	45	0	171	2	0	0	0	0	0	127	133	0	0	27	77	0	0	0	0	0	0	30	0	0	0	23	5	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	171	0	37	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	24	22	145	8	2	0	0	5	0	0	0	0	0	0	4	0	806	81	0	4	539	14	0	0	0	0	0	0	0	13	0	0	0	135	0	0	0	14	0	0	0	0	0	0	40	0	34	16	0	0	166	155	0	0	0	14	3	0	23	0	0	0	27	20	8	9	0	4	0	51	0	0	0	6	0	0	0	0	118	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Parvimonas	0	177	52	474	0	0	356	0	0	1456	341	136	7395	196	173	295	248	154	266	27	24	72	153	145	7631	4877	9202	277	7	88	112	13	113	14	741	189	0	498	188	442	101	119	43	297	22	0	372	0	16	41	155	820	562	23	350	0	42	0	0	6	19	0	699	294	321	302	24	345	283	157	1282	0	54	150	71	629	1476	151	877	10	16	89	607	0	40	21	719	82	91	350	739	520	35	219	637	570	72	196	16	91	38	39	94	207	2384	2102	579	512	136	15	169	177	0	2008	345	2622	378	0	137	11	292	671	171	141	230	376	168	195	22	56	111	68	532	157	79	16	10023	532	11	53	31	194	247	13	425	0	403	222	1490	79	20	79	203	630	79	68	126	149	41	40	140	51	12	874	0	205	24	105	84	623	115	52	136	330	35	403	44	169	90	57	7	345	168	436	700	32	29	6	397	235	204	146	239	490	231	14	511	403	52	0	53	0	0	582	0	323	8	55	0	8	0
Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Peptoniphilus	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	97	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	32	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; W5053	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	6	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	28	4	4	0	0	3	0	0	0	0	0	0	0	0	3	18	0	0	0	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	32	0	0	3	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	7	0	4	0	0	0	0	0	0	10	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Fusibacteraceae; Fusibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	62	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Peptostreptococcaceae; [Eubacterium] yurii group	0	0	0	0	0	0	6	0	0	16	0	0	506	0	69	27	0	0	87	0	0	63	88	6	441	282	12	5	0	91	0	13	0	0	73	8	0	0	21	9	0	187	24	13	0	0	26	0	11	0	21	225	60	30	18	0	60	22	0	0	3	5	68	28	58	60	12	18	6	11	126	18	0	114	8	711	272	90	385	0	0	49	0	0	0	9	25	14	80	0	320	327	0	28	290	46	112	0	5	0	55	0	0	38	0	147	58	329	0	0	0	62	7	168	39	250	102	0	1067	41	112	245	240	141	191	170	9	11	0	0	0	48	113	23	27	0	70	42	0	14	0	14	0	0	106	0	0	64	112	10	0	22	39	18	26	70	32	0	10	0	167	0	0	0	0	0	27	0	0	0	4	64	0	0	0	14	0	42	9	0	0	105	0	9	107	0	0	0	0	6	74	0	0	91	26	0	16	14	0	0	76	15	0	12	0	10	3	0	0	3	3
Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Peptostreptococcaceae; Filifactor	0	23	326	2291	0	0	302	34	0	124	0	8	1643	0	552	175	78	15	0	0	18	11	0	159	1428	1203	14	0	0	34	22	0	106	0	0	155	0	59	653	156	0	29	0	91	4	48	556	0	34	11	560	927	2512	0	835	60	202	0	33	40	463	0	210	785	169	677	142	831	88	759	2442	47	59	142	126	1064	2036	242	1260	300	0	186	75	0	0	270	433	0	209	667	3234	1265	231	415	2478	332	398	550	28	1107	30	0	0	539	0	0	707	2985	0	0	30	384	0	3	396	947	31	107	715	42	1280	1869	935	826	2705	4313	47	56	12	29	59	48	336	13	439	26	981	334	12	101	90	423	0	40	34	0	6	1166	3130	53	44	121	681	1127	487	249	383	199	0	464	0	0	0	611	0	0	67	40	0	0	0	87	129	24	0	0	0	79	239	28	0	23	31	1845	1356	142	0	0	202	225	404	0	0	29	0	0	766	0	0	0	82	0	0	0	0	0	0	0	0	0	8
Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Peptostreptococcaceae; Peptoanaerobacter	0	0	37	600	0	0	51	17	78	67	0	0	40	68	52	48	0	0	11	0	22	44	44	0	37	13	0	8	0	0	0	0	0	0	328	31	0	14	0	119	0	75	33	56	0	0	15	0	15	0	12	159	68	71	0	0	0	0	8	3	0	15	61	26	16	17	0	74	0	52	94	0	5	195	20	208	109	62	241	0	0	35	0	0	0	0	150	0	53	120	877	339	32	68	651	39	98	43	0	0	130	0	0	66	0	316	0	112	70	0	0	84	0	144	0	642	147	37	235	6	104	120	43	74	60	64	0	0	3	16	14	15	132	13	78	0	139	83	12	128	5	57	0	0	325	0	0	59	125	0	0	0	116	14	9	223	99	25	14	2	171	0	0	447	0	8	13	11	0	0	76	9	15	34	0	15	0	81	56	0	0	4	0	85	108	56	0	0	95	0	88	0	0	9	22	7	128	118	0	0	98	0	0	192	0	18	10	0	0	0	0
