SampleID	Diet_Classification	MouseStrain
SRS899080	LFD	C57BL6
SRS899079	LFD	C57BL6
SRS899078	LFD	C57BL6
SRS899077	LFD	C57BL6
SRS899076	HFD	C57BL6
SRS899075	HFD	C57BL6
SRS899074	HFD	C57BL6
SRS899073	HFD	C57BL6
SRS899072	HFD	C57BL6
SRS899071	HFD	C57BL6
SRS1470488	HFD	C57BL6
SRS1470489	HFD	C57BL6
SRS1470490	HFD	C57BL6
SRS1470491	HFD	C57BL6
SRS1470492	HFD	C57BL6
SRS1470493	HFD	C57BL6
SRS1470494	HFD	C57BL6
SRS1470495	HFD	C57BL6
SRS1470497	HFD	C57BL6
SRS1470505	HFD	C57BL6
SRS1470508	HFD	C57BL6
SRS1470509	HFD	C57BL6
SRS1470511	HFD	C57BL6
SRS1470512	HFD	C57BL6
SRS1470513	HFD	C57BL6
SRS1470514	HFD	C57BL6
SRS1470535	HFD	C57BL6
SRS1470536	HFD	C57BL6
SRS1470537	HFD	C57BL6
SRS1470538	HFD	C57BL6
SRS1470539	HFD	C57BL6
SRS1470540	HFD	C57BL6
SRS1470541	HFD	C57BL6
SRS1470542	HFD	C57BL6
SRS1470515	LFD	C57BL6
SRS1470516	LFD	C57BL6
SRS1470517	LFD	C57BL6
SRS1470518	LFD	C57BL6
SRS1470520	LFD	C57BL6
SRS1470521	LFD	C57BL6
SRS1470523	LFD	C57BL6
SRS1470526	LFD	C57BL6
SRS1470529	LFD	C57BL6
SRS1470530	LFD	C57BL6
SRS1470531	LFD	C57BL6
SRS1470532	LFD	C57BL6
SRS1470533	LFD	C57BL6
SRS1470534	LFD	C57BL6
SRS1470543	LFD	C57BL6
SRS1470634	LFD	C57BL6
SRS1470639	LFD	C57BL6
SRS1470641	LFD	C57BL6
SRS1470645	LFD	C57BL6
SRS1470646	LFD	C57BL6
SRS1470647	LFD	C57BL6
SRR969569	LFD	C57BL6
SRR969571	LFD	C57BL6
SRR969577	LFD	C57BL6
SRR969593	HFD	C57BL6
