SampleID	Country
10317.000097482	AGP
10317.000100378	AGP
10317.000002505	AGP
10317.000003440	AGP
10317.000020766	AGP
10317.000028903	AGP
10317.000030584	AGP
10317.000062945	AGP
10317.000003409	AGP
10317.000009058	AGP
10317.000069161	AGP
10317.000149975	AGP
10317.000002688	AGP
10317.000003557	AGP
10317.000002530	AGP
10317.000012330	AGP
10317.000013183	AGP
10317.000058544	AGP
10317.000151259	AGP
10317.000150993	AGP
10317.000003601	AGP
10317.000005789	AGP
10317.000008203	AGP
10317.000005455	AGP
10317.000002381	AGP
10317.000028844	AGP
10317.000090045	AGP
10317.000094710	AGP
10317.000076707	AGP
10317.000103816	AGP
10317.000156083	AGP
10317.000002493	AGP
10317.000002641	AGP
10317.000008199	AGP
10317.000009041	AGP
10317.000015218	AGP
10317.000033592	AGP
10317.000048301	AGP
10317.000092820	AGP
10317.000147945	AGP
10317.000152306	AGP
10317.000007676	AGP
10317.000013731	AGP
10317.000015454	AGP
10317.000017767	AGP
10317.000015929	AGP
10317.000115021	AGP
10317.000155871	AGP
10317.000003027	AGP
10317.000004873	AGP
10317.000007550	AGP
10317.000002881	AGP
10317.000032930	AGP
10317.000033593	AGP
10317.000049969	AGP
10317.000003702	AGP
10317.000004689	AGP
10317.000002438	AGP
10317.000007275	AGP
10317.000007280	AGP
10317.000007289	AGP
10317.000002646	AGP
10317.000004896	AGP
10317.000010433	AGP
10317.000010438	AGP
10317.000012662	AGP
10317.000042822	AGP
10317.000072638	AGP
10317.000007465	AGP
10317.000005806	AGP
10317.000007364	AGP
10317.000012825	AGP
10317.000015679	AGP
10317.000013967	AGP
10317.000015362	AGP
10317.000041370	AGP
10317.000006679	AGP
10317.000010740	AGP
10317.000015017	AGP
10317.000072314	AGP
10317.000076631	AGP
10317.000097365	AGP
10317.000152430	AGP
10317.000005220	AGP
10317.000007674	AGP
10317.000010739	AGP
10317.000017059	AGP
10317.000022970	AGP
10317.000028929	AGP
10317.000102652	AGP
10317.000047644	AGP
10317.000004925	AGP
10317.000007381	AGP
10317.000007386	AGP
10317.000007391	AGP
10317.000010405	AGP
10317.000010410	AGP
10317.000010415	AGP
10317.000010171	AGP
10317.000012812	AGP
10317.000012817	AGP
10317.000015770	AGP
10317.000012588	AGP
